m	n	g	us	path	stddev_pct
256	196608	16	62.20	decode	0.05
256	196608	32	78.20	decode	0.10
256	196608	64	122.20	decode	0.21
512	196608	1	140.80	prefill	0.05
512	196608	2	112.90	prefill	0.07
512	196608	4	111.20	prefill	0.04
512	196608	8	110.00	prefill	0.13
512	196608	16	121.90	prefill	0.04
512	196608	32	144.20	prefill	0.03
512	196608	64	208.10	prefill	0.12
1024	196608	1	235.90	prefill	0.08
1024	196608	2	227.60	prefill	0.10
1024	196608	4	224.00	prefill	0.09
1024	196608	8	223.60	prefill	0.08
1024	196608	16	239.40	prefill	0.14
1024	196608	32	277.70	prefill	0.07
1024	196608	64	380.60	prefill	0.11
2048	196608	1	412.00	prefill	0.10
2048	196608	2	406.90	prefill	0.07
2048	196608	4	399.60	prefill	0.05
2048	196608	8	392.80	prefill	0.03
2048	196608	16	420.00	prefill	0.11
2048	196608	32	500.50	prefill	0.08
2048	196608	64	705.50	prefill	0.06
4096	196608	1	831.50	prefill	0.03
4096	196608	2	805.20	prefill	0.06
4096	196608	4	788.80	prefill	0.04
4096	196608	8	780.40	prefill	0.08
4096	196608	16	847.10	prefill	0.12
4096	196608	32	992.20	prefill	0.07
4096	196608	64	1349.60	prefill	0.03
1	262144	1	75.90	prefill	0.04
1	262144	2	52.70	decode	0.04
1	262144	4	39.50	decode	0.08
1	262144	8	31.60	decode	0.07
1	262144	16	28.20	decode	0.06
1	262144	32	26.60	decode	0.09
1	262144	64	26.10	decode	0.06
2	262144	1	76.60	prefill	0.03
2	262144	2	53.40	decode	0.05
2	262144	4	39.80	decode	0.10
2	262144	8	31.90	decode	0.00
2	262144	16	28.80	decode	0.13
2	262144	32	27.40	decode	0.12
2	262144	64	27.30	decode	0.15
4	262144	1	76.70	prefill	0.07
4	262144	2	53.60	decode	0.08
4	262144	4	39.70	decode	0.14
4	262144	8	31.90	decode	0.15
4	262144	16	28.80	decode	0.25
4	262144	32	27.90	decode	0.26
4	262144	64	28.50	decode	0.18
8	262144	1	77.80	prefill	0.07
8	262144	2	53.90	decode	0.10
8	262144	4	39.80	decode	0.13
8	262144	8	32.40	decode	0.20
8	262144	16	29.90	decode	0.18
8	262144	32	29.70	decode	0.19
8	262144	64	31.80	decode	0.16
16	262144	1	78.20	prefill	0.04
16	262144	2	54.80	decode	0.07
16	262144	4	42.00	decode	0.07
16	262144	8	36.00	decode	0.09
16	262144	16	33.30	decode	0.05
16	262144	32	33.00	decode	0.12
16	262144	64	38.10	decode	0.04
32	262144	1	90.90	prefill	0.05
32	262144	2	64.40	decode	0.04
32	262144	4	46.60	decode	0.05
32	262144	8	36.60	decode	0.06
32	262144	16	34.90	decode	0.00
32	262144	32	38.40	decode	0.06
32	262144	64	50.70	decode	0.00
64	262144	1	100.00	prefill	0.06
64	262144	2	65.30	decode	0.06
64	262144	4	50.60	decode	0.09
64	262144	8	39.20	decode	0.14
64	262144	16	40.00	decode	0.12
64	262144	32	48.50	decode	0.11
64	262144	64	64.90	decode	0.08
128	262144	1	101.20	prefill	0.04
128	262144	2	66.80	decode	0.02
128	262144	4	54.30	decode	0.05
128	262144	8	46.90	decode	0.05
128	262144	16	51.30	decode	0.04
128	262144	32	61.70	decode	0.12
128	262144	64	87.30	decode	0.10
256	262144	1	123.90	prefill	0.06
256	262144	2	82.50	decode	0.10
256	262144	4	69.60	decode	0.09
256	262144	8	68.50	decode	0.06
256	262144	16	74.00	decode	0.07
256	262144	32	89.60	decode	0.12
256	262144	64	133.30	decode	0.12
512	262144	1	178.60	prefill	0.06
512	262144	2	142.60	prefill	0.07
512	262144	4	138.50	prefill	0.06
512	262144	8	141.40	prefill	0.05
512	262144	16	149.40	prefill	0.07
512	262144	32	171.60	prefill	0.10
512	262144	64	221.30	prefill	0.10
1024	262144	1	253.00	prefill	0.14
1024	262144	2	262.00	prefill	0.08
1024	262144	4	252.10	prefill	0.06
1024	262144	8	247.90	prefill	0.11
1024	262144	16	250.90	prefill	0.10
1024	262144	32	292.00	prefill	0.05
1024	262144	64	394.30	prefill	0.05
2048	262144	1	563.30	prefill	0.07
2048	262144	2	543.90	prefill	0.09
2048	262144	4	533.30	prefill	0.09
2048	262144	8	529.70	prefill	0.11
2048	262144	16	556.80	prefill	0.05
2048	262144	32	628.80	prefill	0.14
2048	262144	64	764.00	prefill	0.07
4096	262144	1	1098.10	prefill	0.05
4096	262144	2	1062.50	prefill	0.06
4096	262144	4	1046.40	prefill	0.05
4096	262144	8	1039.80	prefill	0.08
4096	262144	16	1094.80	prefill	0.07
4096	262144	32	1234.00	prefill	0.09
4096	262144	64	1475.40	prefill	0.05
1	393216	1	98.70	prefill	0.03
1	393216	2	63.80	decode	0.04
1	393216	4	44.80	decode	0.04
1	393216	8	34.60	decode	0.00
1	393216	16	29.80	decode	0.10
1	393216	32	27.50	decode	0.10
1	393216	64	26.50	decode	0.09
2	393216	1	99.40	prefill	0.05
2	393216	2	63.50	decode	0.03
2	393216	4	45.00	decode	0.05
2	393216	8	34.80	decode	0.08
2	393216	16	30.00	decode	0.09
2	393216	32	27.80	decode	0.06
2	393216	64	27.30	decode	0.09
4	393216	1	100.40	prefill	0.04
4	393216	2	65.30	decode	0.05
